grid,sample,target,revA,revB,A_class,B_class,class_pair,stable_class,change_class,pixels,area_ha
04803,285,2022,ash,bekka,Water,Insect/Disease,Water->Insect/Disease,Water,Insect/Disease,76,0.76
04803,285,2022,ash,bekka,Agriculture,Beaver,Agriculture->Beaver,Agriculture,Beaver,5,0.05
06063,208,2020,bekka,mina,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,1093,10.93
06063,208,2020,bekka,mina,Harvest,Forest,Harvest->Forest,Forest,Harvest,936,9.36
06063,208,2020,bekka,mina,Harvest,Agriculture,Harvest->Agriculture,Agriculture,Harvest,657,6.57
06063,208,2020,bekka,mina,Forest,Harvest,Forest->Harvest,Forest,Harvest,205,2.05
06063,208,2020,bekka,mina,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,51,0.51
06143,58,2020,bekka,mina,Development,Agriculture,Development->Agriculture,Agriculture,Development,728,7.28
06600,236,2018,ash,mina,Harvest,Forest,Harvest->Forest,Forest,Harvest,667,6.67
07023,191,2018,ash,mina,Development,Agriculture,Development->Agriculture,Agriculture,Development,795,7.95
07023,191,2018,ash,mina,Development,Urban,Development->Urban,Urban,Development,638,6.38
07023,191,2018,ash,mina,Development,Grass/Shrub,Development->Grass/Shrub,Grass/Shrub,Development,173,1.73
07023,191,2018,ash,mina,Agriculture,Development,Agriculture->Development,Agriculture,Development,129,1.29
07023,191,2018,ash,mina,Water,Development,Water->Development,Water,Development,23,0.23
07023,191,2018,ash,mina,Urban,Development,Urban->Development,Urban,Development,13,0.13
07023,191,2018,ash,mina,Development,Forest,Development->Forest,Forest,Development,3,0.03
07023,191,2018,ash,mina,Wetland,Development,Wetland->Development,Wetland,Development,1,0.01
07373,73,2020,mina,peter,Harvest,Forest,Harvest->Forest,Forest,Harvest,1317,13.17
07373,73,2020,mina,peter,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,554,5.54
07373,73,2020,mina,peter,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,145,1.45
07373,73,2020,mina,peter,Development,Grass/Shrub,Development->Grass/Shrub,Grass/Shrub,Development,91,0.91
07373,73,2020,mina,peter,Water,Beaver,Water->Beaver,Water,Beaver,71,0.71
07373,73,2020,mina,peter,Forest,Beaver,Forest->Beaver,Forest,Beaver,39,0.39
07373,73,2020,mina,peter,Wetland,Insect/Disease,Wetland->Insect/Disease,Wetland,Insect/Disease,23,0.23
07373,73,2020,mina,peter,Wetland,Harvest,Wetland->Harvest,Wetland,Harvest,19,0.19
07373,73,2020,mina,peter,Wetland,Beaver,Wetland->Beaver,Wetland,Beaver,15,0.15
07373,73,2020,mina,peter,Grass/Shrub,Harvest,Grass/Shrub->Harvest,Grass/Shrub,Harvest,8,0.08
07373,73,2020,mina,peter,Water,Insect/Disease,Water->Insect/Disease,Water,Insect/Disease,6,0.06
07373,73,2020,mina,peter,Development,Urban,Development->Urban,Urban,Development,6,0.06
07373,73,2020,mina,peter,Forest,Insect/Disease,Forest->Insect/Disease,Forest,Insect/Disease,4,0.04
07373,73,2020,mina,peter,Grass/Shrub,Insect/Disease,Grass/Shrub->Insect/Disease,Grass/Shrub,Insect/Disease,2,0.02
07373,73,2020,mina,peter,Urban,Development,Urban->Development,Urban,Development,2,0.02
07373,73,2020,mina,peter,Urban,Beaver,Urban->Beaver,Urban,Beaver,2,0.02
07373,73,2020,mina,peter,Forest,Harvest,Forest->Harvest,Forest,Harvest,1,0.01
07630,238,2020,mina,peter,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,197,1.97
07630,238,2020,mina,peter,Agriculture,Harvest,Agriculture->Harvest,Agriculture,Harvest,137,1.37
07630,238,2020,mina,peter,Development,Urban,Development->Urban,Urban,Development,131,1.31
07630,238,2020,mina,peter,Development,Agriculture,Development->Agriculture,Agriculture,Development,99,0.99
07630,238,2020,mina,peter,Harvest,Forest,Harvest->Forest,Forest,Harvest,59,0.59
07630,238,2020,mina,peter,Harvest,Agriculture,Harvest->Agriculture,Agriculture,Harvest,47,0.47
07630,238,2020,mina,peter,Development,Other,Development->Other,Other,Development,46,0.46
07630,238,2020,mina,peter,Harvest,Water,Harvest->Water,Water,Harvest,13,0.13
07630,238,2020,mina,peter,Development,Grass/Shrub,Development->Grass/Shrub,Grass/Shrub,Development,12,0.12
07630,238,2020,mina,peter,Harvest,Urban,Harvest->Urban,Urban,Harvest,8,0.08
07630,238,2020,mina,peter,Agriculture,Development,Agriculture->Development,Agriculture,Development,2,0.02
07690,148,2020,ash,mina,Agriculture,Development,Agriculture->Development,Agriculture,Development,22,0.22
07690,148,2020,ash,mina,Urban,Development,Urban->Development,Urban,Development,20,0.2
08200,268,2020,ash,mina,Harvest,Forest,Harvest->Forest,Forest,Harvest,456,4.56
08200,268,2020,ash,mina,Harvest,Agriculture,Harvest->Agriculture,Agriculture,Harvest,166,1.66
08200,268,2020,ash,mina,Harvest,Other,Harvest->Other,Other,Harvest,79,0.79
08200,268,2020,ash,mina,Wetland,Harvest,Wetland->Harvest,Wetland,Harvest,27,0.27
08200,268,2020,ash,mina,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,19,0.19
08200,268,2020,ash,mina,Grass/Shrub,Harvest,Grass/Shrub->Harvest,Grass/Shrub,Harvest,8,0.08
08200,268,2020,ash,mina,Urban,Harvest,Urban->Harvest,Urban,Harvest,6,0.06
08200,268,2020,ash,mina,Harvest,Urban,Harvest->Urban,Urban,Harvest,3,0.03
08321,120,2022,bekka,robert,Harvest,Other,Harvest->Other,Other,Harvest,101,1.01
08321,120,2022,bekka,robert,Development,Agriculture,Development->Agriculture,Agriculture,Development,6,0.06
09520,103,2020,bekka,mina,Harvest,Forest,Harvest->Forest,Forest,Harvest,2203,22.03
09520,103,2020,bekka,mina,Wetland,Harvest,Wetland->Harvest,Wetland,Harvest,723,7.23
09520,103,2020,bekka,mina,Grass/Shrub,Harvest,Grass/Shrub->Harvest,Grass/Shrub,Harvest,149,1.49
09520,103,2020,bekka,mina,Urban,Harvest,Urban->Harvest,Urban,Harvest,56,0.56
09520,103,2020,bekka,mina,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,21,0.21
09520,103,2020,bekka,mina,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,3,0.03
09520,103,2020,bekka,mina,Forest,Harvest,Forest->Harvest,Forest,Harvest,2,0.02
10333,41,2018,bekka,mina,Insect/Disease,Forest,Insect/Disease->Forest,Forest,Insect/Disease,1521,15.21
10333,41,2018,bekka,mina,Insect/Disease,Grass/Shrub,Insect/Disease->Grass/Shrub,Grass/Shrub,Insect/Disease,1327,13.27
10333,41,2018,bekka,mina,Grass/Shrub,Beaver,Grass/Shrub->Beaver,Grass/Shrub,Beaver,879,8.79
10333,41,2018,bekka,mina,Grass/Shrub,Harvest,Grass/Shrub->Harvest,Grass/Shrub,Harvest,645,6.45
10333,41,2018,bekka,mina,Insect/Disease,Wetland,Insect/Disease->Wetland,Wetland,Insect/Disease,318,3.18
10333,41,2018,bekka,mina,Agriculture,Beaver,Agriculture->Beaver,Agriculture,Beaver,165,1.65
10333,41,2018,bekka,mina,Forest,Beaver,Forest->Beaver,Forest,Beaver,138,1.38
10333,41,2018,bekka,mina,Harvest,Agriculture,Harvest->Agriculture,Agriculture,Harvest,114,1.14
10333,41,2018,bekka,mina,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,40,0.4
10333,41,2018,bekka,mina,Harvest,Urban,Harvest->Urban,Urban,Harvest,19,0.19
10333,41,2018,bekka,mina,Agriculture,Harvest,Agriculture->Harvest,Agriculture,Harvest,10,0.1
10333,41,2018,bekka,mina,Wetland,Beaver,Wetland->Beaver,Wetland,Beaver,8,0.08
10333,41,2018,bekka,mina,Harvest,Forest,Harvest->Forest,Forest,Harvest,7,0.07
10333,41,2018,bekka,mina,Wetland,Harvest,Wetland->Harvest,Wetland,Harvest,6,0.06
10333,41,2018,bekka,mina,Urban,Harvest,Urban->Harvest,Urban,Harvest,3,0.03
10333,41,2018,bekka,mina,Insect/Disease,Agriculture,Insect/Disease->Agriculture,Agriculture,Insect/Disease,2,0.02
10333,41,2018,bekka,mina,Insect/Disease,Water,Insect/Disease->Water,Water,Insect/Disease,1,0.01
10333,41,2018,bekka,mina,Insect/Disease,Urban,Insect/Disease->Urban,Urban,Insect/Disease,1,0.01
11160,251,2018,bekka,mina,Wetland,Beaver,Wetland->Beaver,Wetland,Beaver,62,0.62
11160,251,2018,bekka,mina,Wetland,Development,Wetland->Development,Wetland,Development,10,0.1
11702,296,2018,bekka,mina,Agriculture,Development,Agriculture->Development,Agriculture,Development,18,0.18
11702,296,2018,bekka,mina,Grass/Shrub,Development,Grass/Shrub->Development,Grass/Shrub,Development,4,0.04
11950,116,2018,mina,peter,Agriculture,Insect/Disease,Agriculture->Insect/Disease,Agriculture,Insect/Disease,732,7.32
11950,116,2018,mina,peter,Forest,Insect/Disease,Forest->Insect/Disease,Forest,Insect/Disease,252,2.52
11950,116,2018,mina,peter,Agriculture,Harvest,Agriculture->Harvest,Agriculture,Harvest,216,2.16
11950,116,2018,mina,peter,Wetland,Insect/Disease,Wetland->Insect/Disease,Wetland,Insect/Disease,41,0.41
11950,116,2018,mina,peter,Grass/Shrub,Insect/Disease,Grass/Shrub->Insect/Disease,Grass/Shrub,Insect/Disease,4,0.04
11950,116,2018,mina,peter,Water,Insect/Disease,Water->Insect/Disease,Water,Insect/Disease,3,0.03
12763,118,2020,ash,mina,Development,Agriculture,Development->Agriculture,Agriculture,Development,240,2.4
12763,118,2020,ash,mina,Development,Forest,Development->Forest,Forest,Development,49,0.49
12763,118,2020,ash,mina,Development,Urban,Development->Urban,Urban,Development,12,0.12
12763,118,2020,ash,mina,Development,Water,Development->Water,Water,Development,5,0.05
12763,118,2020,ash,mina,Development,Grass/Shrub,Development->Grass/Shrub,Grass/Shrub,Development,1,0.01
12990,266,2018,mina,peter,Water,Beaver,Water->Beaver,Water,Beaver,147,1.47
12990,266,2018,mina,peter,Beaver,Forest,Beaver->Forest,Forest,Beaver,21,0.21
12990,266,2018,mina,peter,Forest,Beaver,Forest->Beaver,Forest,Beaver,8,0.08
12990,266,2018,mina,peter,Beaver,Wetland,Beaver->Wetland,Wetland,Beaver,8,0.08
12990,266,2018,mina,peter,Wetland,Beaver,Wetland->Beaver,Wetland,Beaver,7,0.07
13163,30,2022,peter,robert,Wetland,Harvest,Wetland->Harvest,Wetland,Harvest,226,2.26
13163,30,2022,peter,robert,Forest,Harvest,Forest->Harvest,Forest,Harvest,208,2.08
13163,30,2022,peter,robert,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,44,0.44
13163,30,2022,peter,robert,Beaver,Wetland,Beaver->Wetland,Wetland,Beaver,33,0.33
13163,30,2022,peter,robert,Harvest,Urban,Harvest->Urban,Urban,Harvest,16,0.16
13163,30,2022,peter,robert,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,6,0.06
13163,30,2022,peter,robert,Beaver,Forest,Beaver->Forest,Forest,Beaver,4,0.04
13163,30,2022,peter,robert,Harvest,Forest,Harvest->Forest,Forest,Harvest,2,0.02
13163,30,2022,peter,robert,Grass/Shrub,Harvest,Grass/Shrub->Harvest,Grass/Shrub,Harvest,2,0.02
13163,30,2022,peter,robert,Harvest,Agriculture,Harvest->Agriculture,Agriculture,Harvest,1,0.01
13163,30,2022,peter,robert,Urban,Harvest,Urban->Harvest,Urban,Harvest,1,0.01
13691,43,2020,bekka,mina,Beaver,Forest,Beaver->Forest,Forest,Beaver,428,4.28
13691,43,2020,bekka,mina,Beaver,Grass/Shrub,Beaver->Grass/Shrub,Grass/Shrub,Beaver,284,2.84
13691,43,2020,bekka,mina,Insect/Disease,Grass/Shrub,Insect/Disease->Grass/Shrub,Grass/Shrub,Insect/Disease,187,1.87
13691,43,2020,bekka,mina,Insect/Disease,Wetland,Insect/Disease->Wetland,Wetland,Insect/Disease,119,1.19
13691,43,2020,bekka,mina,Beaver,Wetland,Beaver->Wetland,Wetland,Beaver,66,0.66
13691,43,2020,bekka,mina,Beaver,Water,Beaver->Water,Water,Beaver,12,0.12
13691,43,2020,bekka,mina,Forest,Beaver,Forest->Beaver,Forest,Beaver,9,0.09
13691,43,2020,bekka,mina,Insect/Disease,Water,Insect/Disease->Water,Water,Insect/Disease,2,0.02
13691,43,2020,bekka,mina,Insect/Disease,Forest,Insect/Disease->Forest,Forest,Insect/Disease,2,0.02
13691,43,2020,bekka,mina,Wetland,Beaver,Wetland->Beaver,Wetland,Beaver,2,0.02
13843,88,2020,mina,peter,Other,Harvest,Other->Harvest,Other,Harvest,182,1.82
13843,88,2020,mina,peter,Harvest,Forest,Harvest->Forest,Forest,Harvest,145,1.45
13843,88,2020,mina,peter,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,105,1.05
13843,88,2020,mina,peter,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,34,0.34
13843,88,2020,mina,peter,Other,Development,Other->Development,Other,Development,20,0.2
13843,88,2020,mina,peter,Forest,Harvest,Forest->Harvest,Forest,Harvest,8,0.08
13870,150,2022,bekka,robert,Harvest,Forest,Harvest->Forest,Forest,Harvest,912,9.12
13870,150,2022,bekka,robert,Forest,Harvest,Forest->Harvest,Forest,Harvest,877,8.77
13870,150,2022,bekka,robert,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,787,7.87
13870,150,2022,bekka,robert,Harvest,Urban,Harvest->Urban,Urban,Harvest,251,2.51
13870,150,2022,bekka,robert,Harvest,Agriculture,Harvest->Agriculture,Agriculture,Harvest,19,0.19
13870,150,2022,bekka,robert,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,15,0.15
13870,150,2022,bekka,robert,Development,Urban,Development->Urban,Urban,Development,3,0.03
14542,71,2018,bekka,mina,Wetland,Harvest,Wetland->Harvest,Wetland,Harvest,247,2.47
14542,71,2018,bekka,mina,Development,Urban,Development->Urban,Urban,Development,121,1.21
14542,71,2018,bekka,mina,Forest,Harvest,Forest->Harvest,Forest,Harvest,61,0.61
14542,71,2018,bekka,mina,Harvest,Agriculture,Harvest->Agriculture,Agriculture,Harvest,19,0.19
14542,71,2018,bekka,mina,Harvest,Forest,Harvest->Forest,Forest,Harvest,18,0.18
14542,71,2018,bekka,mina,Agriculture,Development,Agriculture->Development,Agriculture,Development,12,0.12
14542,71,2018,bekka,mina,Wetland,Development,Wetland->Development,Wetland,Development,6,0.06
14542,71,2018,bekka,mina,Agriculture,Harvest,Agriculture->Harvest,Agriculture,Harvest,3,0.03
14542,71,2018,bekka,mina,Development,Agriculture,Development->Agriculture,Agriculture,Development,2,0.02
14542,71,2018,bekka,mina,Urban,Development,Urban->Development,Urban,Development,1,0.01
14873,89,2021,bekka,robert,Insect/Disease,Forest,Insect/Disease->Forest,Forest,Insect/Disease,1731,17.31
14873,89,2021,bekka,robert,Harvest,Agriculture,Harvest->Agriculture,Agriculture,Harvest,232,2.32
14873,89,2021,bekka,robert,Agriculture,Harvest,Agriculture->Harvest,Agriculture,Harvest,127,1.27
14873,89,2021,bekka,robert,Harvest,Forest,Harvest->Forest,Forest,Harvest,60,0.6
14873,89,2021,bekka,robert,Urban,Harvest,Urban->Harvest,Urban,Harvest,21,0.21
14873,89,2021,bekka,robert,Insect/Disease,Agriculture,Insect/Disease->Agriculture,Agriculture,Insect/Disease,10,0.1
14873,89,2021,bekka,robert,Grass/Shrub,Harvest,Grass/Shrub->Harvest,Grass/Shrub,Harvest,7,0.07
14873,89,2021,bekka,robert,Agriculture,Development,Agriculture->Development,Agriculture,Development,4,0.04
15713,270,2022,bekka,robert,Beaver,Wetland,Beaver->Wetland,Wetland,Beaver,11,0.11
15713,270,2022,bekka,robert,Beaver,Forest,Beaver->Forest,Forest,Beaver,1,0.01
17111,13,2020,mina,robert,Wetland,Harvest,Wetland->Harvest,Wetland,Harvest,223,2.23
17111,13,2020,mina,robert,Forest,Harvest,Forest->Harvest,Forest,Harvest,76,0.76
17111,13,2020,mina,robert,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,46,0.46
17111,13,2020,mina,robert,Grass/Shrub,Harvest,Grass/Shrub->Harvest,Grass/Shrub,Harvest,5,0.05
17111,13,2020,mina,robert,Harvest,Forest,Harvest->Forest,Forest,Harvest,3,0.03
17331,209,2021,ash,bekka,Forest,Harvest,Forest->Harvest,Forest,Harvest,24,0.24
17331,209,2021,ash,bekka,Wetland,Harvest,Wetland->Harvest,Wetland,Harvest,23,0.23
17331,209,2021,ash,bekka,Urban,Development,Urban->Development,Urban,Development,6,0.06
17331,209,2021,ash,bekka,Urban,Harvest,Urban->Harvest,Urban,Harvest,4,0.04
19683,298,2020,bekka,mina,Wetland,Insect/Disease,Wetland->Insect/Disease,Wetland,Insect/Disease,47,0.47
19683,298,2020,bekka,mina,Insect/Disease,Forest,Insect/Disease->Forest,Forest,Insect/Disease,34,0.34
19683,298,2020,bekka,mina,Forest,Insect/Disease,Forest->Insect/Disease,Forest,Insect/Disease,15,0.15
19683,298,2020,bekka,mina,Grass/Shrub,Insect/Disease,Grass/Shrub->Insect/Disease,Grass/Shrub,Insect/Disease,11,0.11
19683,298,2020,bekka,mina,Insect/Disease,Wetland,Insect/Disease->Wetland,Wetland,Insect/Disease,10,0.1
20941,281,2018,bekka,mina,Insect/Disease,Forest,Insect/Disease->Forest,Forest,Insect/Disease,11727,117.27
20941,281,2018,bekka,mina,Harvest,Forest,Harvest->Forest,Forest,Harvest,1421,14.21
20941,281,2018,bekka,mina,Wetland,Harvest,Wetland->Harvest,Wetland,Harvest,166,1.66
20941,281,2018,bekka,mina,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,94,0.94
20941,281,2018,bekka,mina,Insect/Disease,Grass/Shrub,Insect/Disease->Grass/Shrub,Grass/Shrub,Insect/Disease,48,0.48
20941,281,2018,bekka,mina,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,45,0.45
20941,281,2018,bekka,mina,Insect/Disease,Urban,Insect/Disease->Urban,Urban,Insect/Disease,26,0.26
20941,281,2018,bekka,mina,Insect/Disease,Wetland,Insect/Disease->Wetland,Wetland,Insect/Disease,7,0.07
20941,281,2018,bekka,mina,Forest,Harvest,Forest->Harvest,Forest,Harvest,1,0.01
21050,117,2019,bekka,robert,Insect/Disease,Forest,Insect/Disease->Forest,Forest,Insect/Disease,7026,70.26
21050,117,2019,bekka,robert,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,564,5.64
